ACO Legal or Name/Doing Business As,ACO Address,ACO Service Area,ACO Website Address,ACO Executive Name,ACO Executive Email,ACO Executive Phone,Public Contact Name,Public Contact Email,Public Contact Phone,Location 1
"Accountable Care Coalition of Greater New York, LLC.","12 MetroTech Plaza, 29th Floor, Brooklyn, New York 11201",NY,http://www.accgreaterny.com/,Jim Korry,JKorry@universalamerican.com,(713) 770-1121,Jim Korry,JKorry@universalamerican.com,(713) 770-1121,"12 MetroTech Plaza
Brooklyn, New York 11201
(40.69472841000004, -73.98721859799997)"
"Accountable Care Coalition of Green Mountains, LLC","P.O. Box 2124, South Burlington, Vermont 05407",VT,http://www.accgreenmountains.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"2124 South Burlington
Vermont 05407
(44.46815688200007, -73.17190990999995)"
"Accountable Care Coalition of Maryland, LLC.","24035 Three Notch Road, Hollywood, Maryland 20636",MD,http://www.accmaryland.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"24035 Three Notch Road
Hollywood, Maryland 20636
(38.32938885100003, -76.55389248799997)"
"Accountable Care Coalition of Maryland Primary Care, LLC.","413 W. Montgomery Cross Road, Suite 602, Savannah, Georgia 31406","DC, MD",http://www.accmdprimarycare.com/,Jim Korry,JKorry@universalamerican.com,(713) 770-1121,Jim Korry,JKorry@universalamerican.com,(713) 770-1121,"413 W Montgomery Cross Road
Savannah, Georgia 31406
(31.99559654500007, -81.11180770899995)"
"Accountable Care Coalition of Mississippi, LLC.","6400 Lakeover Road, Suite A, Jackson, Mississippi 39213",MS,http://www.ACCMississippi.com,Jim Korry,JKorry@universalamerican.com,(713) 770-1121,Jim Korry,JKorry@universalamerican.com,(713) 770-1121,"6400 Lakeover Road
Jackson, Mississippi 39213
(32.392200338000066, -90.19556792199995)"
"Accountable Care Coalition of Mount Kisco, LLC","90 South Bedford Road, Mount Kisco, New York 10549","CT, NY",http://www.accmtkisco.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"90 South Bedford Road
Mount Kisco, New York 10549
(41.19707490900004, -73.72006623099998)"
"Accountable Care Coalition of North Texas, LLC.","1701 River Run Road, Suite 1103, Fort Worth, Texas 76107",TX,http://www.accntexas.com/,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"1701 River Run Road
Fort Worth, Texas 76107
(32.727044215000035, -97.36055419099995)"
"Accountable Care Coalition of Northwest Florida, LLC","715 South Palafox Street, Pensacola, Florida 32502","AL, FL",http://www.accnwflorida.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"715 South Palafox Street
Pensacola, Florida 32502
(30.40527471300004, -87.21366192899995)"
"Accountable Care Coalition of Southeast Wisconsin, LLC","6767 West Greenfield Avenue, Suite 300, Milwaukee, Wisconsin 53214",WI,http://www.accsew.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"6767 West Greenfield Avenue
Milwaukee, Wisconsin 53214
(43.016701889000046, -87.99660976799998)"
"Accountable Care Coalition of South Georgia, LLC.","2402 Osler Court, Albany, Georgia 31707","FL, GA",http://www.accsouthgeorgia.com/,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"2402 Osler Court
Albany, Georgia 31707
(31.609007063000035, -84.22028381899997)"
"Accountable Care Coalition of Syracuse, LLC ","1001 West Fayette Street, Syracuse, New York 13204",NY,http://www.accsyracuse.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"1001 West Fayette Street
Syracuse, New York 13204
(43.04626961100007, -76.16910140599998)"
"Accountable Care Coalition of Texas, Inc.","4888 Loop Central Drive, Suite 700, Houston, Texas 77081",TX,http://www.accoftexas.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"4888 Loop Central Drive
Houston, Texas 77081
(29.724578058000077, -95.45659285699998)"
"Accountable Care Coalition of The Tri-Counties, LLC","PO Box 80279, Charleston, South Carolina 29416",SC,http://www.acctricounties.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"80279 Charleston
South Carolina 29416
(32.808573598000066, -80.02489603399994)"
"Accountable Care Coalition of Western Georgia, LLC","1538 13th Ave., Suite 150B, Columbus, Georgia 31901","AL, GA",http://www.accwesternga.com/,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"1538 13th Ave
Columbus, Georgia 31901
(32.47585023600004, -84.97431860199998)"
"Accountable Care Options, LLC","2240 Woolbright Road, Suite 317, Boynton Beach, Florida 33426",FL,http://aco-fl.com,Richard Lucibella,rich@aco-fl.com,(561) 200-0325,Richard Lucibella,rich@aco-fl.com,(561) 200-0325,"2240 Woolbright Road
Boynton Beach, Florida 33426
(26.51316287800006, -80.08818970699997)"
"Accountable Care Organization of New England, LLC","271 Carew Street, Springfield, Massachusetts 01102","CT, MA",http://aco-ne.com,Daniel Moen,daniel.moen@sphs.com,(413) 748-9315,Mary Orr,mary.orr@sphs.com,(413) 748-7217,"271 Carew Street
Springfield, Massachusetts 01102
(42.11580217200003, -72.59544209799998)"
"Accountable Care Organization of Puerto Rico, Inc.","Urb.Caribe 1551Alda St., Suite 201, San Juan, Puerto Rico 00926",PR,,Joaquin Feliciano,joaquin.feliciano@acopr.com,(787) 625-2500 ext.5399,Yahaira Medero,yahaira.medero@phmhs.com,(787) 625-2500 ext.5380,"Urb.Caribe 1551Alda St.
San Juan, Puerto Rico 00926
(18.3960006, -66.0844667)"
"Accountable Care Organization of the North Country, LLC","25 Park Street, Canton, New York 13617",NY,http://www.aco-nc.com/,David Bender,dbender@cphospital.com,(315) 261-5072,Clayton Duhl,cduhl@joelsduhlinc.com,(386) 676-1786 ext. 503,"25 Park Street
Canton, New York 13617
(44.59431742500004, -75.16829204199996)"
"Accountable Care Partners, LLC","6520 Ft. Caroline Road, Jacksonville, Florida 32277-2044",FL,http://accountablecarepartners.com/,William Carriere,wcarriere@familycarepartners.com,(904) 745-3618,Andrew Stansfield,astansfield@familycarepartners.com,(904) 722-4278,"6520 Ft Caroline Road
Jacksonville, Florida 32277-2044
(30.36638915800006, -81.58914606399998)"
"Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",MI,https://www.medadvgrp.com/aha,Dr. Robert J. Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054,"1305 Abbott Road
East Lansing, Michigan 48823
(42.748309472000074, -84.48379384199995)"
"Accountable Physicians of North Mississippi, Inc.","1739 University Avenue #358, Oxford, Mississippi 38655",MS,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 371-1349,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 371-1349,"1739 University Avenue
Oxford, Mississippi 38655
(34.36309336800008, -89.51229604899999)"
ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","FL, SC, GA",http://www.acmgroupfl.com,Chris Pertierra,CPertierra@ACMGroupFL.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupFL.com,(786) 427-1037,"6355 NW 36 Street
Virginia Gardens, FL 33166
(25.80732804300004, -80.30108068599998)"
ACONA,"2866 Johnson Ferry Road, Suite 200, Marietta, Georgia 30062",AL,http://www.aconortheastalabama.com,Pamela Miller,pmiller@impactmed.com,(770) 518-4406 ext. 233,P Miller,acona.info@gmail.com,(770) 518-4371 ext. 233,"2866 Johnson Ferry Road
Marietta, Georgia 30062
(34.01708016900005, -84.42907036999998)"
ACO Providers ,"1125 Cypress Station Drive, Suite D, Houston, Texas 77090",TX,http://www.ACOProviders.net,Walter Crowder,wcrowder@amedhomehealth.com,(409) 933-1000,Larry Jones,ljones@pct-aco.com,(407) 475-9213 ext.204,"1125 Cypress Station Drive
Houston, Texas 77090
(30.023591732000057, -95.43887076299995)"
ACO Providers of Central Texas,"8901 Emmett F Lowry Expressway, Texas City, Texas 77591","LA, TX, OK",,Walt Crowder,wcrowder@acoproviders.net,(409) 933-1000,Keisha LeBlanc,kleblanc@acoproviders.net,(832) 922-7917,"8901 Emmett F Lowry Expressway
Texas City, Texas 77591
(29.39858370500008, -95.01061715999998)"
"Adena Healthcare Collaborative, LLC","272 Hospital Road, Chillicothe, Ohio 45601",OH,http://www.adenacollaborative.org,Bambi Huffman,bhuffman@adena.org,(740) 779-7290,Maria Smith,msmith4@adena.org,(740) 779-8551,"272 Hospital Road
Chillicothe, Ohio 45601
(39.395352083000034, -82.97051780999999)"
"Adirondacks ACO, LLC","75 Beekman Street, Plattsburgh, New York 12901",NY,http://adirondackACO.com,Karen Ashline,kashline@cvph.org,(518) 314-3663,Karen Ashline,KAshline@cvph.org,(518) 314-3663,"75 Beekman Street
Plattsburgh, New York 12901
(44.70013376800006, -73.46669789699996)"
Advanced Premier Physicians ACO,"17215 Studebaker Rd. #331, Cerritos, California 90703",CA,http://www.appaco.org,Dr. Kenneth Kim,kennethkkimmd@hotmail.com,(213) 427-9850,Jay Choi,jchoi@choiceoneehr.com,(213) 434-0999,"17215 Studebaker Rd
Cerritos, California 90703
(33.87452101500003, -118.09986271799994)"
Advocare Well Network,"2 Eves Drive, Suite 109, Marlton, New Jersey 08053",NJ,http://accountablecarenj.org/index.html,Michael Renzi,mrenzi@advocaredoctors.com,(856) 782-3300,Rebecca Eastman,reastman@challc.net,(856) 669-2553 ext. 1311,"2 Eves Drive
Marlton, New Jersey 08053
(39.91138536200003, -74.93444566599999)"
"Advocate Physician Partners Accountable Care, Inc.","1701 West Golf Road, Suite 2-1100, Rolling Meadows, Illinois 60008",IL,,Michael Englehart,michael.englehart@advocatehealth.com,(847) 635-3396,Verdie Samko,verdie.samko@advocatehealth.com,(847) 375-2200,"1701 West Golf Road
Rolling Meadows, Illinois 60008
(42.05127771200006, -88.00170961099997)"
"Akira Health, Inc.","PO Box 53123, San Jose, California 95153",CA,,Dr. Tien Trinh,ttrinh@akiramso.com,(650) 888-5728,Dr. Tien Trinh,ttrinh@akiramso.com,(650) 888-5728,"53123 San
Jose, California 95153
(37.25035975000003, -121.84672974299997)"
Akira Health of Fresno Inc.,"1627 Hill Top View Ter, San Jose, California 95138",CA,http://www.akirahealth.com/fresno,Dr. Tien Trinh,ttrinh@akiramso.com,(408) 440-0750,Dr. Tien Trinh,ttrinh@akiramso.com,(408) 440-0750,"1627 Hill Top View Ter
San Jose, California 95138
(37.287238675000026, -121.79453452099995)"
Akira Health of Los Angeles Inc,"PO Box 53123, San Jose, California 95153",CA,,Dr. Tien Trinh,ttrinh@akiramso.com,(408) 809-7533,Jennifer Crocker,jcrocker@akiramso.com,(408) 809-7520,"53123 San
Jose, California 95153
(37.25035975000003, -121.84672974299997)"
Aledade Delaware ACO LLC,"7315 Wisconsin Ave, Suite 436W, Bethesda, Maryland 20814","DE, MD, PA",,Mat Kendall,mat.de@aledade.com,(202) 803-7857,Mat Kendall,mat.de@aledade.com,(202) 803-7857,"7315 Wisconsin Ave
Bethesda, Maryland 20814
(38.98252762100003, -77.09320434399996)"
Aledade Primary Care ACO LLC ,"7315 Wisconsin Ave, Suite 436 W, Bethesda, Maryland 20814","AR, MA, NY",,Mat Kendall,mat.apc@aledade.com,(202) 803-7857,Mat Kendall,mat.apc@aledade.com,(202) 803-7857,"7315 Wisconsin Ave
Bethesda, Maryland 20814
(38.98252762100003, -77.09320434399996)"
"Alegent Health Partners, LLC","7261 Mercy Road, Omaha, Nebraska 68124","IA, NE",http://www.chihealth.com/accountable-care-organization,Ann Oasan,ann.oasan@alegent.org,(402) 255-1620,Mary Petersen,mary.petersen2@alegent.org,(402) 255-1696,"7261 Mercy Road
Omaha, Nebraska 68124
(41.23784264000005, -96.02543982099996)"
Alexian Brothers Accountable Care Organization,"3040 Salt Creek Lane, Arlington Heights, Illinois 60005",IL,http://www.alexianbrothersaccountablecareorganization.org,Don Franke,don.franke@alexian.net,(847) 590-2444,Matt Wakely,matt.wakely@alexian.net,(847) 385-7176,"3040 Salt Creek Lane
Arlington Heights, Illinois 60005
(42.090588797000066, -88.02029607299994)"
"Allcare Options, LLC","12271 US Highway 301 N, Parrish, Florida 34219",FL,,Walter Presha,mpresha@mcrhs.org,(941) 803-3041,Linda Horne,lhorne@mcrhs.org,(941) 803-3041,"12271 US Highway
Parrish, Florida 34219
(27.557382441000073, -82.43047791399994)"
Allegiance ACO,"40 Fuld Street, Suite 305, Trenton, New Jersey 08638","NJ, PA",http://www.allegiancehealthgroup.com,Dr. Marc Whitman,allegiancehealthgroup@gmail.com,(609) 365-1599,Dr. Marc Whitman,allegiancehealthgroup@gmail.com,(609) 815-7773,"40 Fuld Street
Trenton, New Jersey 08638
(40.23484700000006, -74.75102198999997)"
"Allied Physicians ACO, LLC","1668 S. Garfield Ave., 2nd Floor, Alhambra, California 91801",CA,http://www.alliedaco.com,Dr. Kenneth Sim,Kenneth.Sim@nmm.cc,(626) 943-6228,Laura Noyes,Laura.Noyes@nmm.cc,(626) 943-6284,"1668 S Garfield Ave
Alhambra, California 91801
(34.07533147100003, -118.12297633899999)"
Amarillo Legacy Medical ACO,"1215 S Coulter St, Ste 400, Amarillo, Texas 79106",TX,http://www.amarilloaco.com,Dr. William Biggs,William@amarillomed.com,(806) 358-8331,Jack Pierce,jack@amarillomed.com,(806) 677-2058,"1215 S Coulter St
Amarillo, Texas 79106
(35.20255840000004, -101.92187233599998)"
"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","1175 American Pacific Dr., Ste. F, Las Vegas, Nevada 89074",NV,http://imanvaco.com/,Dr. Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Howard Jones,tripp@hc360usa.com,(702) 792-4336,"955 Grier Drive
Las Vegas, Nevada 89119
(36.068713331000026, -115.14206476599998)"
"American Health Alliance, LLC","1707 SE 35th Lane, Ocala, Florida 34471",FL,http://www.ahaaco.com/,Dr. Jayanti Panchal,drjaypanchal1@gmail.com,(352) 895-4890,Kristi Stovall,kstovall@orangehealth.net,(904) 423-1785,"1707 SE 35th Lane
Ocala, Florida 34471
(29.152085275000047, -82.11566643399993)"
American Health Network of Ohio PC,"10333 N. Meridian St., Suite 450, Indianapolis, Indiana 46290",OH,http://www.ahni.com,Dr. Dana Andrews,dana_andrews@ahni.com,(419) 756-9995,Judith Scott,judith_scott@ahni.com,(317) 580-6414,"10333 N Meridian St
Indianapolis, Indiana 46290
(39.93717919100004, -86.15772470099995)"
American Rural ACO,"200 Coyote St #1330, Nevada City, California 95959","CA, MO, TX",http://www.ruralaco.com,Shannon Calhoun,scalhoun@ruralaco.com,(916) 500-4777,Georgia Green,ggreen@ruralaco.com,(916) 500-4777,"200 Coyote St
Nevada City, California 95959
(39.26325103900007, -121.01694363999997)"
"AnewCare Collaborative, LLC ","509 Med Tech Parkway, Suite 100, Johnson City, Tennessee 37604","TN, VA",http://anewcare.org/,Ian Bushell,Ian.Bushell@ishnonline.com,(423) 952-2129,Sharon Dicorato,sharon.dicorato@crestpointhealth.com,(423) 952-2116,"509 Med Tech Parkway
Johnson City, Tennessee 37604
(36.33693457800007, -82.39869104599995)"
Antelope Valley ACO,"44215 15th street W, #311, Lancaster, California 93534",CA,http://www.antelopevalleyaco.com/,Dr. Satya Dandamudi,dandamudi2005@yahoo.com,(661) 948-4429,Dr. Satya Dandamudi,dandamudi2005@yahoo.com,(661) 948-4429,"44215 15th street W
Lancaster, California 93534
(34.686545325000054, -118.15686381399996)"
"APCN-ACO, A Medical Professional Corporation","17215 Studebaker Rd. #331, Cerritos, California 90703",CA,http://www.apcnaco.net/,Dr. Wei Wang,weimd@sbcglobal.net,(626) 660-6800,Jay Choi,jchoi@choiceoneehr.com,(213) 434-0999,"17215 Studebaker Rd
Cerritos, California 90703
(33.87452101500003, -118.09986271799994)"
ApolloMed Accountable Care Organization Inc. ,"700 N. Brand Blvd., Suite 450, Glendale, California 91203","CA, MS, OH",http://www.apollomedaco.com/pages.php,Warren Hosseinion,warrenhoss@apollomed.net,(818) 839-5200,Nidia Flores,nflores@apollomed.net,(818) 839-5200 ext. 5189,"700 N Brand Blvd
Glendale, California 91203
(34.15708125700007, -118.25493680499994)"
"AppleCare Medical ACO, LLC","6131 Orangethorpe Avenue, Suite 280, Buena Park, California 90620",CA,,"Dr. Vinod Jivrajka, MD",doctor.vinod@applecaremedical.com,(714) 443-4502,Sasha Dhall,sasha.dhall@applecaremedical.com,(714) 452-5019,"6131 Orangethorpe Avenue
Buena Park, California 90620
(33.85884767700003, -118.02528934399999)"
Arizona Care Network LLC ,"3030 N. Central Avenue, Suite 1000, Phoenix, Arizona 85012",AZ,http://www.azcarenetwork.org,Mark Hillard,mark.hillard@dignityhealth.org,(602) 406-3427,Todd Ricotta,todd.ricotta@dignityhealth.org,(602) 406-6613,"3030 N Central Avenue
Phoenix, Arizona 85012
(33.48183143800003, -112.07394389499996)"
"Arizona Connected Care, LLC","5375 E. Erickson Drive, Tucson, Arizona 85712",AZ,http://www.azconnectedcare.org,Dr. Dan McCabe,dan.mccabe@azconnectedcare.org,(520) 382-8605,Dan Mccabe,dan.mccabe@azconnectedcare.org,(520) 382-8605,"5375 E Erickson Drive
Tucson, Arizona 85712
(32.24967575200003, -110.87859900399997)"
Arizona Priority Care Plus,"6165 W Detroit Street, Chandler, Arizona 85226",AZ,http://www.azpcp-aco.com/,Dale Villani,dale.villani@azprioritycare.com,(480) 499-8766,Dale Villani,dale.villani@azprioritycare.com,(480) 499-8711,"6165 W Detroit Street
Chandler, Arizona 85226
(33.30838306600003, -111.94864016199995)"
"Arkansas Accountable Care, LLC","3383 N. Mana Court, Suite 201, Fayetteville, Arkansas 72703",AR,http://www.araccountablecare.com,Jason Wilson,jason.wilson@mana.md,(479) 571-6780,Carole Masterson,carole.masterson@mana.md,(479) 571-6780,"3383 N Mana Court
Fayetteville, KANSAS 72703
(36.11278695800007, -94.15321117499997)"
Arkansas Health Network LLC,"Two St. Vincent Circle, Little Rock, Arkansas 72205",AR,http://www.arkansashealthnetwork.com,Jon Timmis,jtimmis@stvincenthealth.com,(501) 552-3928,Margaret Preston Dedman,mdedman@stvincenthealth.com,(501) 552-3000,"Two St Vincent Circle
Little Rock, KANSAS 72205
(34.75190411400007, -92.33741151599997)"
"Arkansas HIgh Performance Network ACO, LLC","3600 Old Greenwood Road, Suite 3, Fort Smith, Arkansas 72903","AR, OK",http://www.ArkansasHPN.com,Nick Smith,nsmith@arkansashpn.com,(479) 668-2104,Nick Smith,nsmith@arkansashpn.com,(479) 668-2104,"3600 Old Greenwood Road
Fort Smith, KANSAS 72903
(35.347611914000026, -94.39426161699998)"
Arkansas High Performance Network ACO of CAH,"PO Box 10128, Fort Smith, Arkansas 72917",AR,http://www.ArkansasHPN.com,Nick Smith,nsmith@arkansashpn.com,(479) 668-2104,Nick Smith,nsmith@arkansashpn.com,(479) 668-2104,"3600 Old Greenwood Rd.
Fort Smith,, AR, 72903
(35.347611914000026, -94.39426161699998)"
"Arkansas High Performance Network ACO of FQHC, LLC","PO Box 10128, Fort Smith, Arkansas 72917",AR,http://www.ArkansasHPN.com,Nick Smith,nsmith@arkansashpn.com,(479) 668-2104,Nick Smith,nsmith@arkansashpn.com,(479) 668-2104,"3600 Old Greenwood Rd.
Fort Smith, AR 72903
(35.347611914000026, -94.39426161699998)"
Asian American Accountable Care Organization ,"41 Elizabeth Street, Suite 403, New York, New York 10013",NY,,Dr. Bing Lu,binglu77@hotmail.com,(212) 965-8435,Susan Lau,adm.aaaco@gmail.com,(212) 965-8435,"41 Elizabeth Street
New York, New York 10013
(40.71693751300006, -73.99676827299999)"
ASPA-Connected,"3030 N Central Ave., Suite 1405, Phoenix, Arizona 85012","AZ, NM",,Constance Richardson,connie@azspa.com,(602) 265-2524 ext.212,Constance Richardson,connie@azspa.com,(602) 265-2524 ext.212,"3030 N Central Ave
Phoenix, Arizona 85012
(33.48183143800003, -112.07394389499996)"
Atlantic ACO,"475 South Street, Morristown, New Jersey 07962-1956","NJ, PA",http://www.atlanticaco.org/,David Gross,David.gross@atlantichealth.org,(862) 260-3110,David Gross,David.gross@atlantichealth.org,(862) 260-3110,"475 South Street
Morristown, New Jersey 07962-1956
(40.80440089700005, -74.46439045799997)"
"AtlantiCare Health Solutions, Inc.","2500 English Creek Avenue, Building 500, Suite 501, Egg Harbor Twp., New Jersey 08234",NJ,http://www.atlanticare.org,Steven Blumberg,steven.blumberg@atlanticare.org,(609) 407-2396 ext. 2396,Kimberley Krause,kkrause@atlanticare.org,(609) 407-2234,"2500 English Creek Avenue
Egg Harbor Twp, NJ 08234
(39.43706238000004, -74.60606378499995)"
"Augusta Care Partners, LLC","78 Medical Center Drive, Fishersville, Virginia 22939",VA,http://www.augustacarepartners.com,Dr. Fred Castello,fcastello@augustahealth.com,(540) 932-4251,Lisa Schwenk,lschwenk@augustahealth.com,(540) 245-7329,"78 Medical Center Drive
Fishersville, Virginia 22939
(38.096285032000026, -78.98693244799995)"
Aurora Accountable Care Organization LLC ,"750 W. Virginia Street, Milwaukee, Wisconsin 53204",WI,http://www.aurorahealthcare.org/services/medicare-accountable-care,Patrick Falvey,patrick.falvey@aurora.org,(414) 299-1618,Jacqueline Gisch,jackie.gisch@aurora.org,(262) 787-2737,"750 W Virginia Street
Milwaukee, Wisconsin 53204
(43.02638681800005, -87.92097053199996)"
Balance ACO,"5030 Broadway, Suite 808, New York, New York 10034",NY,http://www.balanceaco.com,Dr. Oscar Fukilman,ofukilman@balanceaco.com,(516) 220-8866,Patricia Tobon,ptobon@balanceaco.com,(917) 364-3198,"5030 Broadway
New York, New York 10034
(40.869091731000026, -73.91710229399996)"
"Barnabas Health ACO-North, LLC","95 Old Short Hills Road, West Orange, New Jersey 07052",NJ,http://www.barnabashealthaconorth.org,Dr. John Bonamo,jbonamo@barnabashealth.org,(973) 322-5502,Julie Owen,jowen@barnabashealth.org,(973) 322-4445,"95 Old Short Hills Road
West Orange, New Jersey 07052
(40.763606079000056, -74.30246057199997)"
BAROMA Health Partners,"4960 SW 72 Ave, Suite 305, Miami, Florida 33155",FL,http://www.baromahealthpartners.com,Scott Backer,sbacker@baromahc.com,(305) 748-6147 ext.222,Ricardo Matos,info@baromahc.com,(305) 748-6147,"4960 SW 72 Ave
Miami, Florida 33155
(25.72413905800005, -80.31069071699994)"
Baroma Health Partners,"4960 SW 72 Ave., Suite 305, Miami, Florida 33155",FL,http://www.baromahealthpartners.com,Scott Backer,sbacker@baromahc.com,(888) 315-4490,Ricardo Matos,info@baromahc.com,(305) 748-6147,"4960 SW 72 Ave
Miami, Florida 33155
(25.72413905800005, -80.31069071699994)"
Baroma Health Partners,"4960 SW 72 Ave, Suite 305, Miami, Florida 33155",LA,http://www.baromahealthpartners.com,Scott Backer,info@baromahc.com,(888) 315-4490,Ricardo Matos,info@baromahc.com,(888) 315-4490,"4960 SW 72 Ave
Miami, Florida 33155
(25.72413905800005, -80.31069071699994)"
"Bassett Accountable Care Partners, LLC ","One Atwell Road, Cooperstown, New York 13326",NY,,Dr. Vance Brown,vance.brown@bassett.org,(607) 547-3100,Karen Huxtable-Hooker,karen.huxtable-hooker@bassett.org,(607) 547-3914,"One Atwell Road
Cooperstown, New York 13326
(42.69583177900006, -74.92267689199997)"
